epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.798941799572536,0.5047322918498327,0.668733709388309,0.8421052694320679,0.5155765740494979,0.6382511496543884
1,0.8425925935386981,0.5138311405030508,0.6160590711724822,0.8421052694320679,0.5050815074067366,0.5800076290180809
2,0.8425925932233296,0.508011451158574,0.5500896948355215,0.8421052694320679,0.5117222321660895,0.5140267993274488
3,0.8425925932233296,0.5146805013298358,0.5021949902413383,0.8421052694320679,0.5102439685871727,0.4634586425204026
4,0.842592594169435,0.5078793464514314,0.4684829845945671,0.8421052694320679,0.5117043043437757,0.4298402190208435
5,0.8425925907003816,0.5148618489346176,0.4404549745340196,0.8421052694320679,0.5145382046699524,0.4150051524764613
6,0.8425925929079611,0.5153666964914433,0.44762098804983513,0.8421052694320679,0.5163507241951791,0.408494864639483
7,0.8425925944848035,0.5230536347343808,0.42429180151571044,0.8421052694320679,0.5236990809440613,0.4026100892769663
8,0.8425925919618557,0.5281289979894325,0.42564424620103586,0.8421052694320679,0.531652287433022,0.3964117746604116
9,0.8425925910157501,0.5359134396547993,0.4153615548497155,0.8421052694320679,0.5415309178201776,0.38993642298798814
10,0.8425925919618557,0.5462091543056347,0.411324307874397,0.8421052694320679,0.5513361491655049,0.3832315667679435
11,0.842592594169435,0.5569702815757227,0.40895121091257325,0.8421052694320679,0.5613998864826403,0.3772237984757674
12,0.842592592277224,0.5674346224971549,0.3982201410979821,0.8421052694320679,0.5731582848649276,0.3704751366063168
13,0.842592594169435,0.5787468120534583,0.39182977543936837,0.8421052694320679,0.5848860332840368,0.3636520799837614
14,0.8425925935386981,0.5911199888855061,0.37918246691189117,0.8421052694320679,0.5971539585213912,0.356354495412425
15,0.8425925929079611,0.601478858599587,0.3856374395902825,0.8421052694320679,0.6071151607914975,0.34863488203600834
16,0.8439153445460809,0.6128094183704841,0.3700486331705063,0.8421052694320679,0.6184298734915884,0.34126071616222986
17,0.8452380946073582,0.6238598350494627,0.3638755329071529,0.8421052694320679,0.6295675779643811,0.33330133620061375
18,0.8439153458075549,0.6351428470283589,0.35190492773812915,0.8473684273268047,0.6405968019836827,0.3255201054246802
19,0.8439153445460809,0.644924778471548,0.359984046725369,0.8473684273268047,0.649711411250265,0.3195232623501828
20,0.8439153435999754,0.65517343698986,0.34937097455458666,0.8526315802022031,0.6599005184675518,0.31353977134353234
21,0.8452380958688323,0.6647387210023467,0.34494733558130014,0.8473684223074662,0.6691575445626912,0.3077423525483985
22,0.8478835966221239,0.6740110510240787,0.3400914702150557,0.8526315701635261,0.6778996298187657,0.3024908991236436
23,0.8465608481376891,0.6818050051492358,0.33531519644474855,0.8526315701635261,0.6860747387534694,0.2968406347852004
24,0.8558201045586319,0.6895191770382029,0.32889678443550435,0.8473684172881277,0.6941015412932948,0.29179429631484183
25,0.8597883613652022,0.6979611982744207,0.333864411979756,0.8421052593933909,0.7011897018081263,0.28735462834960535
26,0.8624338605416515,0.7049504089607763,0.32135677613593916,0.8421052593933909,0.7088235227685226,0.2835680304389251
27,0.86243386085702,0.7120653857629766,0.31915762689378524,0.8473684172881277,0.7155544952342384,0.28047781304309244
28,0.8664021157713794,0.7183488355111823,0.3191706337941387,0.8473684172881277,0.7217387349982011,0.2771824886924342
29,0.8597883616805707,0.7247013339289913,0.3205998260823507,0.8473684172881277,0.7277113387459203,0.2753262303377453
30,0.8664021157713794,0.730662032094582,0.31155385526399765,0.8421052593933909,0.7335361606196353,0.2712547192448064
31,0.8624338633799679,0.7367119543136113,0.30475380969425986,0.8473684172881277,0.739385303698088,0.2694850847909325
32,0.8664021145099055,0.7418279256770219,0.3083425272236425,0.8421052593933909,0.7445395708084106,0.26681201254066667
33,0.8743386237078874,0.746805694052782,0.30516887326089165,0.8421052593933909,0.7495866041434439,0.2648239654930014
34,0.8783068767300358,0.7520158732378924,0.2925063315680418,0.8473684122687892,0.7547188909430252,0.26218431215537225
35,0.8783068779915099,0.7568583378085384,0.28918985178861667,0.8473684122687892,0.7597847712667365,0.2599479364721399
36,0.8730158733312415,0.7624071924774735,0.2853122457625374,0.8526315701635261,0.7645335900156122,0.2577094073358335
37,0.8690476174707766,0.7666883727230093,0.2954770896642927,0.8526315701635261,0.7687614974222685,0.2550001205582368
38,0.8796296280527872,0.7709362778083357,0.28223301667385,0.8578947280582628,0.7731970830967552,0.25315175260368145
39,0.8875661359892951,0.7751182333502189,0.2808971069161854,0.8526315701635261,0.777114556965075,0.2521385272866801
40,0.8690476171554081,0.7789042462747564,0.29121917170822303,0.8578947330776013,0.7809243773159228,0.2502410157730705
41,0.8769841288763379,0.7827565698396592,0.2887582643322213,0.8631578909723382,0.7843975700830158,0.24989039003849028
42,0.8835978839132521,0.7859214601062593,0.2849304462393756,0.8578947330776013,0.7877728807298761,0.24770010270570453
43,0.8822751325905007,0.7892272630065837,0.2866866680837813,0.8578947330776013,0.7909786964717664,0.24595724548164166
44,0.8902116389501662,0.7924513239709158,0.2763291999461159,0.8684210438477366,0.7942001763143037,0.2451522624806354
45,0.8941798944952627,0.7956060981624341,0.28016778353660826,0.8789473596372103,0.797206417510384,0.24412235288243544
46,0.88756613914298,0.7986090019266442,0.27865250653060025,0.8789473596372103,0.799987973037519,0.24306148494544783
47,0.8902116405270087,0.8015778364327849,0.27363423435460954,0.8736842017424734,0.8029017228829233,0.2419099675981622
48,0.895502643925803,0.804211123595162,0.2767660297729351,0.8789473596372103,0.8055488617796647,0.24208713801283585
49,0.899470897894057,0.8070280640213577,0.271365209231301,0.8736842017424734,0.8082039632295307,0.24111957032429546
50,0.8941798957567366,0.8093181646690166,0.27927811814363673,0.8736842017424734,0.8105533750433671,0.24030288379443318
51,0.8955026448719086,0.8117388827460152,0.2697350612235448,0.8789473596372103,0.8129696080559179,0.23948184455695906
52,0.8902116408423771,0.8141569463664262,0.2682060105775399,0.8894736754266839,0.815370740388569,0.23921814764800825
53,0.8981481487788852,0.8164485910582164,0.263118438462101,0.8894736754266839,0.8176594495773315,0.23925673867526806
54,0.8981481465713057,0.8189629057727793,0.2635489981325846,0.8894736754266839,0.8198999172762821,0.23829701072291323
55,0.895502643925803,0.8207602964507209,0.2705661712815522,0.8894736754266839,0.8218575245455692,0.23779362393052955
56,0.8941798935491572,0.822720418531428,0.2837137192014664,0.8947368333214207,0.8235689458094145,0.23681077376792306
57,0.9021164027471391,0.8246181238265264,0.26785620163988183,0.8947368333214207,0.8254898623416298,0.2368626649442472
58,0.9021164014856652,0.8264868760865832,0.2613717175665356,0.8947368333214207,0.8273403958270424,0.23616060943979966
59,0.9007936511090193,0.8282972675151926,0.25845860772662693,0.8947368333214207,0.8292161069418255,0.23685518675728848
60,0.8968253971407654,0.8300860161503787,0.2638317954445642,0.8947368333214207,0.830890513093848,0.2366641447732323
61,0.8994708988401625,0.8316738532964515,0.25913092036726615,0.8947368333214207,0.8325767015155993,0.2364916450098941
62,0.9007936489014399,0.8334237661941972,0.2653056957103588,0.8947368333214207,0.834186335613853,0.23658723188074013
63,0.8994709001016364,0.8349169927930075,0.2725858298874406,0.8947368333214207,0.8356414060843619,0.2369005937325327
